"problem_id","problem","answer","year","region","content_id"
"29","李白《蜀道难》中“{1}，{2}”两句，以感叹的方式收束对蜀道凶险的描写，转入后文对人事的关注。","其险也如此,嗟尔远道之人胡为乎来哉","2016","新课标Ⅱ卷","42"
"30","王湾《次北固山下》的名句“{1}，{2}”，描写时序交替中的景物，暗示着时光流逝，蕴含着自然理趣。","海日生残夜,江春入旧年","2024","全国甲卷","0"
"31","小慧为朋友家的农家乐餐厅写宣传横幅，直接使用了陆游《游山西村》里的“{1}，{2}”两句诗，朋友看了觉得很贴切。","山重水复疑无路,柳暗花明又一村","2024","全国甲卷","0"
"32","《邹忌讽齐王纳谏》中记载，齐王接受邹忌的意见，广开言路。一开始有很多人进谏，以至“{1}”；过了几个月后，则“{2}”。","门庭若市,时时而间进","2023","全国甲卷","0"
"33","在《邹忌讽齐王纳谏》中，邹忌见到了徐公，先是仔细观察，感觉自己没有徐公美，然后“{1}，{2}”，最终认定自己确实不如徐公美。","窥镜而自视,又弗如远甚","2021","新高考Ⅰ卷","0"
"34","《邹忌讽齐王纳谏》中“{1}，{2}”，表现了主人公的形象之美。","邹忌修八尺有余,而形貌昳丽","2019","新课标Ⅱ卷","0"
"35","鲍照曾以“对案不能食，拔剑击柱长叹息”表达内心愤懑，李白《行路难》中的两句诗“{1}，{2}”，描写相近动作，抒写近似心情。","停杯投箸不能食,拔剑四顾心茫然","2023","全国甲卷","0"
"36","白居易《琵琶行》中“{1}，{2}”两句，写琵琶女结束演奏后的动作及神态，同时也引出下文对其身世的叙述。","沉吟放拨插弦中,整顿衣裳起敛容","2023","全国乙卷","50"
"37","白居易《琵琶行》中“{1}，{2}”两句，写琵琶女以娴熟的技艺演奏了当时有名的两首乐曲。","轻拢慢捻抹复挑,初为《霓裳》后《六幺》","2022","新课标Ⅱ卷","50"
"38","古代贬谪之地往往环境艰苦，白居易在《琵琶行》中这样描述谪居浔阳的生活：“{1}，{2}。其间旦暮闻何物？杜鹃啼血猿哀鸣。”","住近湓江地低湿,黄芦苦竹绕宅生","2021","北京卷","50"
"39","乐曲演奏过程中的停顿也有情感表达作用。白居易《琵琶行》中对此进行说明的诗句是：“{1}，{2}。”","别有幽愁暗恨生,此时无声胜有声","2021","新课标乙卷","50"
"40","元代戏剧家马致远的杂剧《青衫泪》根据白居易的诗《琵琶行》改编而成，剧名来自诗中的“{1}，{2}”两句。","座中泣下谁最多,江州司马青衫湿","2020","新课标Ⅰ卷","50"
"41","白居易的《琵琶行》中“{1}，{2}”两句写昔日的琵琶女身价很高，引来了众多纨绔子弟的追捧。","五陵年少争缠头,一曲红绡不知数","2018","新课标Ⅱ卷","50"
"42","严格地说，浔阳并非绝对没有音乐，只是声音单调繁杂，实在难以入耳。白居易《琵琶行》中“{1}，{2}”两句表达了这样的意思。","岂无山歌与村笛,呕哑嘲哳难为听","2016","新课标Ⅲ卷","50"
"43","《旧唐书·音乐志》记载竖箜篌“体曲而长，二十有二弦”，而李贺《李凭箜篌引》中“{1}，{2}”两句，说明竖箜篌的弦数还有另一种可能。","十二门前融冷光,二十三丝动紫皇","2023","新高考Ⅰ卷","51"
"44","欧阳修《五代史伶官传序》中记载，李存勖将李克用留给他的三支箭收藏在祖庙中，其后用兵作战，“{1}，{2}”，装在锦囊中背在身上，奔赴战场。","则遣从事以一少牢告庙,请其矢","2023","新高考Ⅱ卷","18"
"45","欧阳修在《伶官传序》中感慨：当李存勖强盛的时候，“{1}，{2}”；而等到他衰败的时候，几十个伶人围困他，就身死国灭，被天下人讥笑。","其意气之盛,可谓壮哉","2021","新高考II卷","18"
"46","宋代爱国名将宗泽因朝廷掣肘，没有机会北渡黄河与金兵作战。相传他在临终之际慨叹壮志未酬，仍在吟咏杜甫《蜀相》中的名句“{1}，{2}”。","出师未捷身先死,长使英雄泪满襟","2023","北京卷","46"
"47","杜甫《蜀相》中“{1}？{2}”两句自问自答，点明了诸葛武侯祠所在的位置。","丞相祠堂何处寻,锦官城外柏森森","2022","新高考Ⅱ卷","46"
"48","小刚临摹了一幅诸葛亮的画像，想在上面题两句诗，却一直没想好。汪老师认为不妨直接用古人成句，比如“{1}，{2}”就很好。","出师未捷身先死,长使英雄泪满襟","2023","新高考Ⅰ卷","46"
"49","《诗经·卫风·氓》中男女主人公有过愉悦的往昔，“{1}，{2}”，就是对他们小时候欢乐相处的描写。","总角之宴,言笑晏晏","2022","全国甲卷","0"
"50","杜甫《登高》中“{1}，{2}”两句都使用了叠字，从听觉、视觉上突出了对景伤怀的感受。","无边落木萧萧下,不尽长江滚滚来","2022","全国甲卷","48"
"51","杜甫《登高》中“{1}，{2}”一联由眼前之景联想到沦落他乡、年老多病的处境。","万里悲秋常作客,百年多病独登台","2022","上海卷","48"
"52","古代诗人受到《楚辞·湘夫人》“袅袅兮秋风，洞庭波兮木叶下”的启发，创造出“落木”一词，以指代落叶。该词在古典诗词中经常出现，如“{1}，{2}”。","无边落木萧萧下,不尽长江滚滚来","2021","新高考II卷","48"
"53","辛弃疾《永遇乐·京口北固亭怀古》中“{1}，{2}”两句，表现了当年刘裕率军北伐时的强大气势。","金戈铁马,气吞万里如虎","2022","全国甲卷","66"
"54","在《永遇乐（千古江山）》中，辛弃疾回顾了元嘉年间的那次北伐，宋文帝刘义隆本希望能够“{1}”，但是由于行事草率，最终却“{2}”。","封狼居胥,赢得仓皇北顾","2016","新课标Ⅰ卷","66"
"55","李商隐《锦瑟》“{1}，{2}”两句中的数目字，引发了后世读者的多种解读。","锦瑟无端五十弦,一弦一柱思华年","2022","全国乙卷","53"
"56","诗歌之妙在言有尽而意无穷。李商隐就善于表现含蓄蕴藉之美，如《锦瑟》中间两联：“庄生晓梦迷蝴蝶，望帝春心托杜鹃。{1}，{2}。”","沧海月明珠有泪,蓝田日暖玉生烟","2022","北京卷","53"
"57","龚自珍《己亥杂诗》（其五）中“{1}，{2}”两句，以花落归根为喻，抒发了诗人虽然辞官，但仍关心国家前途命运的情怀。","落红不是无情物,化作春泥更护花","2022","全国乙卷","0"
"58","《荀子·劝学》中“{1}，{2}”两句，以劣马的执着为喻，强调为学必须持之以恒。","驽马十驾,功在不舍","2022","新高考Ⅰ卷","2"
"59","《荀子·劝学》中举例说，笔直的木材如果“”，就会弯曲到符合圆规的标准；即使再经暴晒也不会挺直，因为“{1}”。","輮以为轮,輮使之然也","2020","新课标Ⅱ卷","2"
"60","在“停课不停学”期间的云班会上讨论“学习和思考的关系”，你想强调学习的重要性，可以引用荀子《劝学》中的“{1}，{2}”。","吾尝终日而思矣,不如须臾之所学也","2020","天津卷","2"
"61","《荀子·劝学》中强调了积累的重要。以积土成山、积水成渊可以兴风雨、生蛟龙设喻，引出“{1}，{2}，{3}”的观点。","积善成德,而神明自得,圣心备焉","2017","新课标Ⅲ卷","2"
"62","《荀子·劝学》指出，蚯蚓虽然身体柔弱，却能“{1}，{2}”，是用心专一的缘故。","上食埃土,下饮黄泉","2016","新课标Ⅰ卷","2"
"63","乐器在古代生活中发挥着重要作用，《诗经·周南·关雎》中写到乐器的句子是“{1}”和“{2}”。","琴瑟友之,钟鼓乐之","2022","新高考Ⅰ卷","0"
"64","鲍照的拟行路难当中以“{1}，{2}”起兴，从日常平凡的生活现象引发自身的感慨。","泻水置平地,各自东西南北流","2022","山东/江苏卷","39"
"65","曹操的短歌行中的“{1}，{2}”，表达了自己希望接纳更多的人才，模仿了管子的“海不辞水，故能成其大；山不辞土石，故能成其高。”","山不厌高,海不厌深","2022","山东/江苏卷","37"
"66","曹操《短歌行》中“{1}，{2}”两句，把贤才比作光照宇内，可望而不可即的明月，表达了对贤才的渴望。","明明如月,何时可掇","2017","山东卷","37"
"67","李白常常称谢灵运为谢公，比如在“{1}，{2}”诗句中。","脚著谢公屐,身登青云梯","2022","山东/江苏卷","43"
"68","李白在《梦游天姥吟留别》中的{1}，{2}两句，写梦中山路曲折，主人公流连忘返，不知不觉间天色已晚。","千岩万转路不定,迷花倚石忽已暝","2020","上海卷","43"
"69","《梦游天姥吟留别》中，“{1}，{2}”两句描写梦中的声音，震动林泉，使人心惊胆战。","熊咆龙吟殷岩泉,栗深林兮惊层巅","2018","上海卷","43"
"70","姜夔在《扬州慢》中描写了兵乱后扬州的沧桑变化：“{1}，{2}。自胡马窥江去后，废池乔木，犹厌言兵。”","过春风十里,尽荠麦青青","2022","北京卷","70"
"71","《左传·庄公十年》记载，长勺之战结束后，曹刿向鲁庄公解释说，确认齐军不是伪装败退进而决定追击，是因为“{1}，{2}”。","(吾)视其辙乱,望其旗靡","2021","全国甲卷","0"
"72","《左传·曹刿论战》中记载，鲁庄公十年，齐国入侵，曹刿求见国君献策，但他的乡人质疑道：“{1}，{2}。”","肉食者谋之,又何间焉","2016","新课标Ⅲ卷","0"
"73","《庄子·逍遥游》引用志怪书《齐谐》的内容称，当大鹏迁往南海的时候，“{1}，{2}”，乘着六月的大风飞去。","水击三千里,抟扶摇而上者九万里","2021","全国甲卷","26"
"74","《庄子•逍遥游》中说，到郊野去的人，只带一日之粮当天回来，肚子还饱饱的；到百里之外去的人，则需要“{1} ”；而去往千里之外的人，就必须“{2} ”。","宿舂粮,三月聚粮","2021","新高考Ⅰ卷","26"
"75","宋初道士陈抟，字图南，号扶摇子，其名、字、号都出自《庄子·逍遥游》。其名与号出自“{1}”，其字出自“{2}”。","抟扶摇而上者九万里,而后乃今将图南","2021","北京卷","26"
"76","《庄子》所描绘的大鹏形象富于浪漫色彩：“鹏之背，不知其几千里也；{1}，{2}。”","怒而飞,其翼若垂天之云","2020","北京卷","26"
"77","《庄子·逍遥游》中的斥鷃无法理解大鹏，称自己腾跃起飞，“{1}，{2}”，也就是飞行的极致了。","不过数仞而下,翱翔蓬蒿之间","2019","新课标Ⅰ卷","26"
"78","《庄子•逍遥游》中以八千年为一季的大椿为例，阐述何为“大年”，随后指出八百岁的长寿老人实在不算什么：“{1}，{2}，{3}!”","而彭祖乃今以久特闻,众人匹之,不亦悲乎","2017","新课标Ⅱ卷","26"
"79","《庄子·逍遥游》描写迁徙南溟的大鹏击水之广、飞升之高的句子是“{1}，{2}。”","水击三千里,抟扶摇而上者九万里","2016","山东卷","26"
"80","郦道元在《三峡》一文中引用渔歌“{1}，{2}”，来印证前文对哀猿长啸的描写。","巴东三峡巫峡长,猿鸣三声泪沾裳","2021","全国甲卷","0"
"81","即便“故国不堪回首”，李煜在《虞美人》（春花秋月何时了）中还是不由自主地想到自己当年在金陵的宫殿，慨叹已物是人非：“{1}，{2}”。","雕栏玉砌应犹在,只是朱颜改","2021","全国乙卷","54"
"82","李煜《虞美人》词中“{1}，{2}”两句，以江水比喻自己的愁绪，抒发亡国之君无尽的痛苦之情。","问君能有几多愁,恰似一江春水向东流","2016","山东卷","54"
"83","范仲淹《岳阳楼记》中描写了春日的洞庭湖景色，其中写到花草的句子是：“{1}，{2}。{3}”","岸芷汀兰,郁郁青青","2021","全国乙卷","0"
"84","贾谊在《过秦论》中交代陈涉的身份，说他不过是个“{1}，{2}”，且是被迁戍边的兵卒。","（然陈涉）瓮牖绳枢之子,氓隶之人","2021","新高考Ⅰ卷","13"
"85","在《游褒禅山记》中，王安石陈述自己的感悟：力量足以达到目的却未达到，“{1}，{2}”；而尽了自己的努力仍未达到，便可以无所悔恨。","于人为可讥,而在己为有悔","2021","新高考Ⅰ卷","0"
"86","在学校运动会上，你的同学竭尽全力却未能夺得冠军，他深感遗憾。你用王安石的话“{1}，{2}”来安慰他。","尽吾志也而不能至者,可以无悔矣","2020","北京卷","0"
"87","同学们到郊外春游，阳光下树木葱郁，水流淙淙，小慧不禁想起了陶渊明《归去来兮辞》中的文句：“{1}，{2}。”","木欣欣以向荣,泉涓涓而始流","2024","新高考Ⅱ卷","16"
"88","田园是中国古代文人的精神家园。陶渊明在《归去来兮辞》中用“{1}，{2}”描写万物在春日复苏、繁荣滋长的美好景象，表达对田园生活的热爱，引发对生命的思考。","木欣欣以向荣,泉涓涓而始流","2021","天津高考真题","16"
"89","《离骚》中“{1},{2}”两句对古代服饰的“上衣下裳制”有所反映。","制芰荷以为衣兮,集芙蓉以为裳","2020","新课标Ⅰ卷","35"
"90","在《水调歌头（明月几时有）》中，苏轼自言想要重返天上，但又有所顾虑，原因在于“{1},{2}”。","又恐琼楼玉宇,高处不胜寒","2020","新课标Ⅰ卷","0"
"91","欧阳修《醉翁亭记》中称出游时的食物都可来自山间，肥美的鱼从溪水中捕捞出，所谓“{1}，{2}”；而用泉水酿制的美酒，口味甘洌。","临溪而渔,溪深而鱼肥","2020","新课标Ⅱ卷","0"
"92","白居易《观刈麦》中“{1}，{2}”两句，写劳动者珍惜夏日时光，不顾劳累，也忘记了炎热。","力尽不知热,但惜夏日长","2020","新课标Ⅲ卷","0"
"93","《阿房宫赋》中以一连串的排比夸张表现阿房宫的奢华，如写架起房梁的椽子“{1}”，嘈杂的音乐声“{2}”。","多于机上之工女,多于市人之言语","2020","新课标Ⅲ卷","6"
"94","杜牧《阿房宫赋》中“{1}，{2}”两句，写阿房宫占地极广且极为高大，以表现其雄壮之美。","覆压三百余里,隔离天日","2019","新课标Ⅱ卷","6"
"95","杜牧在《阿房宫赋》的结尾处感叹道，如果六国爱护自己的百姓，就足以抵抗秦国，紧接着说：“{1}，{2}，{3}？”","使秦复爱六国之人,则递三世可至万世而为君,谁得而族灭也","2017","新课标Ⅰ卷","6"
"96","杜牧《阿房宫赋》中以“{1}，{2}”描写阿房宫宫人的美丽，她们伫立远眺，盼望着皇帝临幸。","一肌一容,尽态极妍","2016","新课标Ⅱ卷","6"
"97","《史记·屈原贾生列传》认为，《离骚》兼具《国风》和《小雅》的情感特点，其中《国风》是“{1}”，《小雅》是“{2}”。","好色而不淫,怨诽而不乱","2024","北京卷","3"
"98","范仲淹《渔家傲（塞下秋来风景异）》中“{1}，{2}”两句，写戍边将士满怀思乡的愁苦，但未获胜利仍然不得还乡。","浊酒一杯家万里,燕然未勒归无计","2019","新课标Ⅰ卷","0"
"99","苏轼在《念奴娇（大江东去）》中，用“{1}，{2}”两句，表达了岁月虚度、只能借酒浇愁的无奈之感。","人生如梦,一尊还酹江月","2019","新课标Ⅲ卷","58"
"100","苏轼《念奴娇（大江东去）》中“{1}”一句，写的是周瑜的儒将装束。“{2}”一句，表明了周瑜的赫赫战功。","羽扇纶巾,樯橹灰飞烟灭","2018","新课标Ⅰ卷","58"
"101","苏轼《念奴娇》（大江东去）中“{1}，{2}”两句，描写了骇浪搏击江岸的壮丽景色。","惊涛拍岸,卷起千堆雪","2017","山东卷","58"
"102","《孟子·鱼我所欲也》中说，虽然一点食物即可关乎生死，但若“{1}”，饥饿的路人也不会接受；若“{2}”，即便是乞丐也会拒绝。","呼尔而与之,蹴尔而与之","2018","新课标Ⅱ卷","0"
"103","《孟子•鱼我所欲也》中表示，生是我希望得到的，义也是我希望得到的，但“{1}，{2}”。","二者不可得兼,舍生而取义者也","2016","新课标Ⅱ卷","0"
"104","曹操《观沧海》中“{1}，{2}”两句描写了海水荡漾、峰峦矗立的景象。","水何澹澹,山岛竦峙","2017","新课标Ⅰ卷","0"
"105","杜甫《茅屋为秋风所破歌》中，“{1}，{2}”两句写狂风停止之后云层变得墨黑，天色马上暗下来，引出下文屋破又遭连夜雨的境况。","俄顷风定云墨色,秋天漠漠向昏黑","2017","新课标Ⅲ卷","0"
"106","刘禹锡在《陋室铭》中以“{1}，{2}”来借指自己的陋室，抒发自己仰慕前贤、安贫乐道的情怀。","南阳诸葛庐,西蜀子云亭","2017","新课标Ⅱ卷","0"
"107","在《出师表》开头，诸葛亮向后主指出，先帝刘备过早去世，“{1}，{2}”，正是危急存亡之时。","今天下三分,益州疲弊","2016","新课标Ⅰ卷","0"
"108","杜甫《登岳阳楼》颔联“{1}，{2}”，描写了洞庭湖浩瀚壮阔的景色，千古传诵。","吴楚东南坼,乾坤日夜浮","2016","山东卷","49"
"109","李清照《一剪梅（红藕香残玉簟秋）》中“{1}，{2}”两句，形象地写出了主人公无法排遣的离情。","才下眉头,却上心头","2020","山东卷","0"
"110","辛弃疾《菩萨蛮（郁孤台下清江水）》中写道，江中不仅能看到江水，还能看到“{1}”；而北望故都，又“{2}”，视线常被遮断。","中间多少行人泪,可怜无数山","2020","山东卷","67"
"111","《诗经·卫风·氓》中男女主人公有过愉悦的往昔，“{1}，{2}”，就是对他们小时候欢乐相处的描写。","总角之宴,言笑晏晏","2022","全国甲卷","0"
"112","小张最近天天加班，早起晚睡。她借用《诗经》中的名句来调侃这种生活状态：“{1}，{2}。”","夙兴夜寐,靡有朝矣","2020","北京卷","0"
"113","《论语·先进》中写到孔子的四个弟子侍坐时各言其志，子路的志向是，用三年时间治理一个饱经忧患的千乘之国，“{1}，{2}”。","可使有勇,且知方也","2020","山东卷","11"
